"os","fecha_ingreso","fecha_entrega","cliente","tipo_equipo","marca","modelo","items_repuesto_presupuesto","keywords_texto","match_directo_top3","estado","descripcion_problema","trabajos_realizados"
"28826","2025-12-05 00:00:00","","PRAXAIR ARG.","CONCENTRADOR DE OXÍGENO","Longfian","JAY-5Q","","compresor | filtro | rueda | zeolita_tamiz","","pendiente_manual","compresor ruidoso 
rueda delantera faltante
zeolita degradada","colocación de rueda faltante - cambio de labios - cambio de filtros - cambio de zeolita - colocacion de banda elastica"
"28862","2025-12-09 00:00:00","2025-12-18 07:06:00","OXICASTHOMECARE","CONCENTRADOR DE OXÍGENO","Longfian","JAY-5Q","","bateria_pila | filtro | tecla_boton_llave | zeolita_tamiz","","pendiente_manual","zeolita degradada
pila alarma degradada","cambio de zeolita - cambio de pila alarma - cambio de filtros - corrección de tecla ON/OFF - control y limpieza del equipo

Se BONIFICA el cambio de zeolitas por posible falla de fábrica."
"28866","2025-12-09 00:00:00","","SIMPLE SALUD","CONCENTRADOR DE OXÍGENO","AirSep","NewLife Elite","","filtro","","pendiente_manual","el equipo esta en buenas condiciones","cambio de filtro externo - control de funcionamiento - concentra en 5L 92,3/94,6%"
"28870","2025-12-11 00:00:00","2026-01-13 07:17:00","DIAGNOSTIC MEDIC","CPAP","BMC","CPAP G2","","filtro","","pendiente_manual","OSCILACION DE PRESION CUANDO EL RESLEX ESTA ACTIVADO","ACTUALIZACION DE SOFTWARE PARA CORRECCION DE FALLA EN RESLEX - CALIBRACION DEL EQUIPO - CONTROL DE FUNCIONAMIENTO OK - CAMBIO DE FILTRO"
"28871","2025-12-11 00:00:00","2025-12-30 13:47:00","SOENSA","ASPIRADOR A BATERÍAS","Movi-vac","A-550","","bateria_pila | motor | placa | tecla_boton_llave","","pendiente_manual","PULSADOR DE ENCENDIDO DESARMADO","REPARACION DE LLAVE DE ENCENDIDO (REARMADO MONTAJE DE LLAVE ENCENDIDO) DESMONTAJE TOTAL DE MOTOR BATERIAS Y PLACA ELECTRONICA LIMPIEZA INTERIOR MONTAJE DE BATERIAS , LIMPIEZA MOTOR Y LUBRICACION CON GRASA EN AEROSOL CONTROL DE FUNCIONAMIENTO PLACA ELECTRONICA"
"28874","2025-12-12 00:00:00","2025-12-24 08:03:00","AVIL SALUD SRL","ASPIRADOR A BATERÍAS","Movi-vac","A-550","","gabinete_carcasa | valvula_pillow","","pendiente_manual","VALVULA AGUJA FORZADA","LUBRICACION VALVULA AGUJA Y FIJACION A GABINETE"
"28877","2025-12-15 00:00:00","2026-01-13 11:58:26","SIED","CONCENTRADOR DE OXÍGENO","Longfian","JAY-5Q","","zeolita_tamiz","","pendiente_manual","pico de salida roto
zeolita degradada/ concentraba 86/89%","cambio de pico de salida O2 - cambio de zeolita - cambio de banda elástica - control y limpieza del equipo"
"28882","2025-12-09 00:00:00","","DOMICILIO SALUD","BOMBA DE ALIMENTACIÓN","Kangaroo","224","","bateria_pila","","pendiente_manual","NO FUNCIONA A BATERIA","CONTROL DE FUNCIONAMIENTO, CAMBIO DE BATERIAS LOTE 9868"
"28888","2025-12-16 00:00:00","","ALEXANDER FLEMING S A","BOMBA DE ASPIRACION DE DRENAJE","EI","K-135","","fusible | manguera","","pendiente_manual","leds testigos y porta fusible flojos
conectores llenos de cinta 
mangueras internas vencidas","cambio de mangueras - ajuste de leds testigos y porta fusible - limpieza de cinta en conectores y columna de agua - control y limpieza del equipo"
"28889","2025-12-16 00:00:00","2026-01-13 11:58:48","SIED","BOMBA DE INFUSIÓN","Kangaroo","324","","","","pendiente_manual","NO DETECTA IMAN DE GOTERO","AJUSTE DE ALOJAMIENTO IMAN DE GOTERO, CONTROL DE FUNCIONAMIENTO"
"28891","2025-12-15 00:00:00","2026-01-09 11:43:00","BIOMEDICAL CARE SUR S.A.S.","CPAP","Yamind","DM26","","","","pendiente_manual","microsd del equipo pide formatear por error de numero de serie - cuando se intento leer los datos de tarjeta en el software somnus tiro el error  ""La operación aritmética ha provocado un desbordamiento"" - equipo con bastante polvo y tierra en su interior","-El equipo pide formatear la microSD cuando se enciende porque esta línea de equipos solo permite una microSD por equipo, no permite usar la misma para diferentes equipos
-Se identificaron los archivos corruptos de la sd y se intercambiaron por otros que no lo estén, de otro equipo, haciendo esto se logro leer los datos de terapia en el somnus con el inconveniente de que a la hora de leer los datos, el numero de serie que figurara es el del equipo que se usaron los archivos - se enviara una carpeta comprimida con todos los datos óptimos para leerlos - se recomienda formatear la microSD y usarla nuevamente en el equipo que corresponde
-Limpieza interior y exterior de equipo, control de funcionamiento ok"
"28892","2025-12-15 00:00:00","2026-01-06 11:39:00","BIOMEDICAL CARE SUR S.A.S.","CPAP","BMC","CPAP G2S","","filtro","","pendiente_manual","equipo entrega presiones erroneas cuando el reslex esta activado","actualizacion de software para correccion de falla en reslex - calibracion del equipo - control de funcionamiento ok - limpieza interior y exterior - cambio de filtro"
"28893","2025-12-17 00:00:00","2026-01-09 11:34:00","SOENSA","AUTO CPAP","BMC","AUTO CPAP G2S","","filtro | motor | placa","","pendiente_manual","EQUIPO CON SILBIDO EN TURBINA POR RODAMIENTO DESGASTADO - REQUIERE CAMBIO DE TURBINA - PLACA OK 
 EQUIPO EN GARANTIA NO SE ENCONTRARON ANOMALIAS O SIGNOS DE MAL USO DEL EQUIPO E","CONTROL DE FUNCIONAMIENTO DE TODOS LOS PARAMETROS DEL EQUIPO OK - CAMBIO DE TURBINA - CAMBIO DE FILTRO"
"28894","2025-12-18 00:00:00","2026-01-20 07:11:00","PANAS","ASPIRADOR A BATERÍAS","Movi-vac","A-550","","bateria_pila | gabinete_carcasa","","pendiente_manual","NOCARGA BATERIA, SOPORTE MANIJA ROTO","REPARATO GABINETE SOPORTE DE MANIJA, CAMBIO DE FUJSE BATERIA"
"28895","2025-12-18 00:00:00","2026-01-20 07:10:00","PANAS","ASPIRADOR A BATERÍAS","Movi-vac","A-550","","bateria_pila","","pendiente_manual","equipo no funcionaba correctamente a baterias - baterias descargadas -","se cargaron las baterias hasta que lleguen a la tensión normal de las mismas (estaban muy descargadas) - control de funcionamiento de baterias ok - control de carga ok - aspiracion maxima 550mmHg"
"28897","2025-12-18 00:00:00","2026-01-20 07:11:00","PANAS","ASPIRADOR A BATERÍAS","Movi-vac","A-550","","bateria_pila | fusible | motor","","pendiente_manual","NO FUNCIONA A BATERIAS BAJO NIVEL DE ASPIRACION","CAMBIO DE MINIFUSE 3 AMP, DESARME LIMPIEZA Y LUBRICACION MOTOR."
"28903","2025-12-05 00:00:00","","PRAXAIR ARG.","oxímetro de pulso","Nellcor","N-560","","bateria_pila","","pendiente_manual","BATERIA OBSOLETA","CAMBIO DE BATERIA 12V 1.3 A - CONTROL DE FUNCIONAMIENTO OK"
"28907","2025-12-23 00:00:00","2026-01-13 12:00:10","SIED","CONCENTRADOR DE OXÍGENO","Longfian","JAY-5","Ceolitas || Base plastica","compresor | filtro | tecla_boton_llave | zeolita_tamiz","","pendiente_manual","compresor ruidoso
silenciadores sueltos
base plástica rota
zeolita degradada","cambio de base plástica - cambio de labios - cambio de flapers - ajuste de silenciadores - cambio de filtros - cambio de zeolita - cambio de tapa superior -  ajuste de tecla ON/OFF"
"28908","2025-12-23 00:00:00","2026-01-14 07:17:00","SIED","CONCENTRADOR DE OXÍGENO","AirSep","NewLife Elite","Ceolitas","filtro | zeolita_tamiz","","pendiente_manual","zeolita degradada","cambiar zeolita (CAN 0030/31) - cambio de filtros - control y limpieza del equipo"
"28912","2025-12-22 00:00:00","2026-01-07 06:54:00","NOVAMED S.A.","ASPIRADOR","Silfab","N-33A","","","","pendiente_manual","","LIMPIEZA Y CONTROL DE FUNCIONAMIENTO"
"28927","2025-12-16 00:00:00","","ALEXANDER FLEMING S A","BOMBA DE ASPIRACION DE DRENAJE","EI","K-135","","manguera","","pendiente_manual","mangueras interna y externas gastadas","cambio de mangueras - control y limpieza del equipo"
"28931","2025-12-31 00:00:00","","RESPIFLOW","ASPIRADOR","Silfab","N-33A","","","","pendiente_manual","devolucion","LIMPIEZA GRAL CONTROL DE FUNCIONAMIENTO"
